"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*026mq*","Tyler Anderson","LAA","SP","362","FA","35","TEX Wed 8:38PM","175","8.33","45%","-2.9%"
"*0312v*","Mike Tauchman","CHW","OF","366","FA","34","PHI Wed 1:10PM","173.5","3.15","24%","-1.4%"
"*04ok3*","Michael Toglia","COL","1B","368","FA","26","@CLE Wed 5:40PM","173","2.04","42%","+1.7%"
"*05xsq*","Luis Ortiz","CLE","SP,RP","369","FA","26","COL Wed 5:40PM","172.5","10.78","34%","+0.1%"
"*025fx*","Tommy Pham","PIT","OF","370","FA","37","@SF Wed 2:45PM","172.5","2.24","14%","0%"
"*041q8*","Brandon Marsh","PHI","OF","373","FA","27","@CHW Wed 1:10PM","171.5","2.02","30%","+2.7%"
"*0312l*","Brad Keller","CHC","RP","372","FA","30","@MIL Wed 1:10PM","171.5","3.99","15%","-3.2%"
"*04q0o*","Romy Gonzalez","BOS","1B,2B,SS","374","FA","28","@MIN Wed 12:10PM","171","3.29","31%","-11.1%"
"*04ehj*","Dane Myers","MIA","OF,UT","377","FA","29","@STL Wed 6:45PM","170.5","2.21","18%","-3.2%"
"*04ppi*","Kody Clemens","MIN","1B,2B,OF","376","FA","29","BOS Wed 12:10PM","170.5","2.47","14%","-4%"
"*031el*","Danny Jansen","MIL","C","379","FA","30","CHC Wed 1:10PM","170","2.33","18%","+0.2%"
"*04naz*","Tyler Holton","DET","SP,RP","382","FA","29","ARI Wed 12:10PM","168.5","3.66","24%","-1.6%"
"*04puc*","Bennett Sousa","HOU","RP","383","FA","30","WSH Wed 1:10PM","168.5","4.68","18%","-5.7%"
"*03o43*","Luis Urias","ATH","2B,3B","384","FA","28","SEA Wed 9:05PM","168.5","2.08","10%","-1.4%"
"*031fj*","Gabe Speier","SEA","RP","386","FA","30","@ATH Wed 9:05PM","167","3.55","17%","-2.8%"
"*03qne*","Chris Paddack","DET","SP","387","FA","29","ARI Wed 12:10PM","167","7.95","33%","-0.8%"
"*041w4*","Bryan Baker","TB","RP","388","FA","30","@NYY Wed 6:05PM","166.5","3.47","13%","-5%"
"*04q08*","Kyle Leahy","STL","RP","389","FA","28","MIA Wed 6:45PM","166","3.95","16%","-2%"
"*0316t*","Adam Frazier","KC","2B,OF","390","FA","33","ATL Wed 1:10PM","166","1.95","8%","-0.8%"
"*02ccf*","Tommy Kahnle","DET","RP","391","FA","35","ARI Wed 12:10PM","165.5","3.76","36%","-6.4%"
"*025kd*","Jose Quintana","MIL","SP","394","FA","36","CHC Wed 1:10PM","164.5","10.97","58%","-6.1%"
"*04auk*","Seranthony Dominguez","TOR","RP","396","FA","30","@BAL Wed 11:35AM","164.5","3.74","32%","-3.8%"
"*02c47*","Shawn Armstrong","TEX","SP,RP","395","FA","34","@LAA Wed 8:38PM","164.5","3.66","12%","-2.2%"
"*04pqs*","Jake Bird","COL","RP","397","FA","29","@CLE Wed 5:40PM","163.5","3.63","11%","-2.4%"
"*041se*","Abraham Toro","BOS","1B,3B","398","FA","28","@MIN Wed 12:10PM","163","2.63","16%","-3.6%"
"*066n3*","Ryan Walker","SF","RP","399","FA","29","PIT Wed 2:45PM","163","3.54","56%","+1.8%"
"*041q6*","Nolan Jones","CLE","OF","400","FA","27","COL Wed 5:40PM","162.5","1.68","34%","+1.8%"
"*0596g*","Reid Detmers","LAA","SP,RP","403","FA","26","TEX Wed 8:38PM","162.5","3.69","45%","-0.6%"
"*04aok*","Gregory Soto","NYM","RP","406","FA","30","@SD Wed 3:10PM","161.5","3.44","17%","-3.4%"
"*041qv*","Alex Call","WSH","OF","408","FA","30","@HOU Wed 1:10PM","161","2.24","11%","-0.6%"
"*041x9*","Graham Ashcraft","CIN","SP,RP","410","FA","27","LAD Wed 6:10PM","160.5","4.01","16%","-1.7%"
"*02nax*","Matt Strahm","PHI","RP","411","FA","33","@CHW Wed 1:10PM","160","3.56","38%","-3.4%"
"*0518s*","Ryan Gusto","HOU","SP,RP","412","FA","26","WSH Wed 1:10PM","160","6.96","23%","-7.6%"
"*02buh*","Scott Barlow","CIN","RP","413","FA","32","LAD Wed 6:10PM","159.5","3.13","7%","-1.3%"
"*04ppo*","Kyle Isbel","KC","OF","414","FA","28","ATL Wed 1:10PM","159","1.69","9%","+0.5%"
"*02n0v*","Hoby Milner","TEX","RP","418","FA","34","@LAA Wed 8:38PM","158","3.22","11%","-1.8%"
"*02h8d*","Steven Matz","STL","SP,RP","421","FA","34","MIA Wed 6:45PM","155.5","4.86","16%","-1.2%"
"*05itb*","Randy Vasquez","SD","SP","423","FA","26","NYM Wed 3:10PM","154.5","7.36","25%","-3.4%"
"*02hfr*","Caleb Thielbar","CHC","RP","424","FA","38","@MIL Wed 1:10PM","154","3.42","11%","-1.5%"
"*05ynb*","Liam Hicks","MIA","C,1B","426","FA","26","@STL Wed 6:45PM","154","2.11","12%","-2.1%"
"*02mx2*","Tyrone Taylor","NYM","OF","427","FA","31","@SD Wed 3:10PM","153.5","1.62","6%","-0.3%"
"*04pvu*","Stephen Kolek","SD","SP,RP","429","FA","28","NYM Wed 3:10PM","153","10.93","21%","-5.1%"
"*04an8*","Wenceel Perez","DET","OF,UT","432","FA","25","ARI Wed 12:10PM","152.5","3.11","25%","-6.2%"
"*01s9c*","Randal Grichuk","KC","OF","431","FA","33","ATL Wed 1:10PM","152.5","2.09","8%","-0.3%"
"*02i3l*","Miguel Andujar","ATH","3B,OF","435","FA","30","SEA Wed 9:05PM","151.5","2.57","19%","-2%"
"*06dqd*","Ben Williamson","SEA","3B","436","FA","24","@ATH Wed 9:05PM","151.5","1.8","8%","-1.3%"
"*066du*","Brad Lord","WSH","SP,RP","437","FA","25","@HOU Wed 1:10PM","151.5","4.09","14%","-3.4%"
"*041s4*","Lake Bachar","MIA","RP","439","FA","30","@STL Wed 6:45PM","151","4.58","6%","-1.5%"
"*03deu*","Brock Stewart","MIN","RP","442","FA","33","BOS Wed 12:10PM","150","3.85","12%","-2.2%"
"*04pxf*","Davis Martin","CHW","SP","443","FA","28","PHI Wed 1:10PM","150","9.37","27%","-3%"
"*03qju*","Garrett Cleavinger","TB","RP","444","FA","31","@NYY Wed 6:05PM","149.5","3.56","19%","-2.5%"
"*04ekf*","Calvin Faucher","MIA","RP","445","FA","29","@STL Wed 6:45PM","148.5","3.45","20%","-1.4%"
"*041qd*","Jake Fraley","CIN","OF","446","FA","30","LAD Wed 6:10PM","148.5","2.56","18%","+0.9%"
"*03ca3*","Kyle Freeland","COL","SP","448","FA","32","@CLE Wed 5:40PM","148.5","7.82","18%","-2.5%"
"*03d6n*","Erick Fedde","ATL","SP","449","FA","32","@KC Wed 1:10PM","147","7","48%","-3.9%"
"*01s9k*","Starling Marte","NYM","OF","450","FA","36","@SD Wed 3:10PM","147","2.37","20%","+1.2%"
"*032gq*","Rowdy Tellez","TEX","1B","451","FA","30","@LAA Wed 8:38PM","147","2.13","6%","-0.7%"
"*025ko*","Justin Wilson","BOS","RP","452","FA","37","@MIN Wed 12:10PM","147","3.59","5%","-1.1%"
"*06luc*","Jack Dreyer","LAD","SP,RP","453","FA","26","@CIN Wed 6:10PM","146.5","3.49","17%","-2.5%"
"*041vm*","Dylan Lee","ATL","RP","455","FA","30","@KC Wed 1:10PM","145.5","2.97","22%","-3.8%"
"*03dap*","Brock Burke","LAA","RP","456","FA","28","TEX Wed 8:38PM","144.5","2.83","3%","-0.6%"
"*05rb2*","Jonathan Cannon","CHW","SP","459","FA","25","PHI Wed 1:10PM","144","8","27%","-0.8%"
"*041vp*","Santiago Espinal","CIN","2B,3B,OF","460","FA","30","LAD Wed 6:10PM","143.5","1.54","8%","-0.5%"
"*03df0*","Jose Trevino","CIN","C","461","FA","32","LAD Wed 6:10PM","143","2.27","11%","-1.2%"
"*05a06*","Nick Mears","MIL","RP","462","FA","28","CHC Wed 1:10PM","142.5","3.1","9%","-2.8%"
"*04y95*","JJ Bleday","ATH","OF","464","FA","27","SEA Wed 9:05PM","142.5","2.3","38%","+4.6%"
"*041py*","Keegan Akin","BAL","SP,RP","465","FA","30","TOR Wed 11:35AM","142.5","3.56","10%","-0.8%"
"*051ia*","Spencer Horwitz","PIT","1B,2B","467","FA","27","@SF Wed 2:45PM","142","2.49","37%","+0.7%"
"*02h9j*","Michael A. Taylor","CHW","OF","468","FA","34","PHI Wed 1:10PM","142","1.56","3%","-0.4%"
"*05ym7*","Fernando Cruz","NYY","RP","469","FA","35","TB Wed 6:05PM","141.5","4.42","27%","-2.1%"
"*04mjn*","Eduard Bazardo","SEA","RP","470","FA","29","@ATH Wed 9:05PM","141.5","3.01","6%","-1.2%"
"*04etg*","Janson Junk","MIA","SP,RP","473","FA","29","@STL Wed 6:45PM","140","11.67","39%","-8.6%"
"*041z3*","John Schreiber","KC","RP","477","FA","31","ATL Wed 1:10PM","139.5","2.91","6%","-1%"
"*041w3*","Eli White","ATL","OF","478","FA","31","@KC Wed 1:10PM","139.5","1.94","5%","-0.7%"
"*062ho*","Javier Sanoja","MIA","2B,3B,OF","479","FA","22","@STL Wed 6:45PM","139","1.81","6%","-0.8%"
"*04022*","Tim Hill","NYY","RP","480","FA","35","TB Wed 6:05PM","138.5","2.72","7%","-1.6%"
"*03qqb*","Myles Straw","TOR","OF","481","FA","30","@BAL Wed 11:35AM","138.5","1.54","4%","-0.6%"
"*03djb*","Jalen Beeks","ARI","RP","482","FA","32","@DET Wed 12:10PM","138","3.29","8%","-1%"
"*05u6p*","Brant Hurter","DET","SP,RP","483","FA","26","ARI Wed 12:10PM","138","4.18","13%","-0.7%"
"*04y9h*","Kameron Misner","TB","OF","484","FA","27","@NYY Wed 6:05PM","137.5","1.94","11%","-0.6%"
"*03rmz*","Keibert Ruiz","WSH","C","485","FA","27","@HOU Wed 1:10PM","137","2.01","48%","+2.5%"
"*04yuu*","Patrick Bailey","SF","C","488","FA","26","PIT Wed 2:45PM","136.5","1.59","20%","+1.8%"
"*05yaf*","Jacob Young","WSH","OF","490","FA","26","@HOU Wed 1:10PM","136","1.68","25%","+2.4%"
"*05tuw*","Trey Sweeney","DET","SS","489","FA","25","ARI Wed 12:10PM","136","1.6","24%","0%"
"*0514k*","Pedro Pages","STL","C","492","FA","26","MIA Wed 6:45PM","135.5","1.65","10%","-1.1%"
"*000dp*","Justin Verlander","SF","SP","493","FA","42","PIT Wed 2:45PM","135","7.5","49%","+2.4%"
"*01usr*","Kyle Higashioka","TEX","C","494","FA","35","@LAA Wed 8:38PM","134.5","2.36","11%","-0.2%"
"*04pbp*","Christopher Morel","TB","2B,3B,OF","495","W <small>(Wed)</small>","26","@NYY Wed 6:05PM","134","1.86","43%","+2.4%"
"*05138*","Matt Brash","SEA","RP","496","FA","27","@ATH Wed 9:05PM","133.5","4.45","35%","-3.7%"
"*04y76*","Jacob Webb","TEX","RP","497","FA","31","@LAA Wed 8:38PM","133","3.17","4%","-0.5%"
"*02myt*","Steven Okert","HOU","RP","498","FA","34","WSH Wed 1:10PM","133","3.02","12%","-2.7%"
"*04rhl*","Carlos Vargas","SEA","SP,RP","500","FA","25","@ATH Wed 9:05PM","132.5","2.82","5%","-1.3%"
"*02n2v*","Anthony Banda","LAD","RP","501","FA","31","@CIN Wed 6:10PM","132","2.69","7%","-0.4%"
"*041rq*","Brenan Hanifee","DET","RP","502","FA","27","ARI Wed 12:10PM","131.5","2.99","4%","-0.8%"
"*05qzx*","Angel Zerpa","KC","RP","503","FA","25","ATL Wed 1:10PM","130.5","2.9","4%","-0.8%"
"*06fqx*","Seth Halvorsen","COL","RP","505","FA","25","@CLE Wed 5:40PM","130","3.17","26%","-1.8%"
"*04ok0*","Mike Vasil","CHW","SP,RP","506","FA","25","PHI Wed 1:10PM","130","4.64","11%","-1.8%"
"*0517z*","Mitch Spence","ATH","SP,RP","507","FA","27","SEA Wed 9:05PM","129.5","4.47","14%","0%"
"*03qz9*","Sam Haggerty","TEX","OF","509","FA","31","@LAA Wed 8:38PM","128","2.51","4%","-0.6%"
